<ID|readonly|noverify>;<English>
hurricane_mk1c_1;Sea Hurricane Mk I
hurricane_mk1c_2;Hurricane
typhoon_mk1a_shop;Typhoon Mk Ia
typhoon_mk1a_0;Hawker Typhoon Mark Ia
typhoon_mk1a_1;Typhoon Mk I
typhoon_mk1a_2;Typhoon
typhoon_mk1b_shop;Typhoon Mk Ib (1942)
typhoon_mk1b_0;Hawker Typhoon Mark Ib (1942 production)
typhoon_mk1b_1;Typhoon Mk I
typhoon_mk1b_2;Typhoon
typhoon_mk1b_late_shop;Typhoon Mk Ib (1943)
typhoon_mk1b_late_0;Hawker Typhoon Mark Ib (1943 production)
typhoon_mk1b_late_1;Typhoon Mk I
typhoon_mk1b_late_2;Typhoon
spitfire_mk9b_shop;Spitfire Mk IXb
shop/group/spitfire_griffon_group;Spitfire (Griffon)
spitfire_mk1_shop;Spitfire Mk Ia
spitfire_mk1_0;Supermarine Type 300 Spitfire Mark Ia
spitfire_mk1_1;Spitfire Mk Ia
spitfire_mk1_2;Spitfire Mk I
spitfiremkiia_shop;Spitfire Mk IIa
spitfiremkiia_0;Supermarine Type 329 Spitfire Mark IIa
spitfiremkiia_1;Spitfire Mk IIa
spitfiremkiia_2;Spitfire Mk II
spitfiremkiia_ep_shop;Spitfire Mk IIa [411 Sq.]
spitfiremkiia_ep_0;Supermarine Type 329 Spitfire Mark IIa [DBR P7923 | Number 411 Squadron, Royal Canadian Air Force] «Venture I»
spitfiremkiia_ep_1;Spitfire Mk IIa
spitfiremkiia_ep_2;Spitfire Mk II
spitfiremkii_shop;Spitfire Mk IIb
spitfiremkii_0;Supermarine Type 329 Spitfire Mark IIb
spitfiremkii_1;Spitfire Mk II
spitfiremkii_2;Spitfire Mk II
spitfire_mk5b_notrop_shop;Spitfire Mk Vb
spitfire_mk5b_notrop_0;Supermarine Type 349 Spitfire Mark Vb
spitfire_mk5b_notrop_1;Spitfire Mk V
spitfire_mk5b_notrop_2;Spitfire
spitfire_mk5b_shop;Spitfire Mk Vb Trop
spitfire_mk5b_0;Supermarine Type 352 Spitfire Mark Vb Tropicalized
spitfire_mk5b_1;Spitfire Mk V
spitfire_mk5b_2;Spitfire
spitfire_mk5c_notrop_shop;Spitfire Mk Vc
spitfire_mk5c_notrop_0;Supermarine Type 349 Spitfire Mark Vc
spitfire_mk5c_notrop_1;Spitfire Mk V
spitfire_mk5c_notrop_2;Spitfire
spitfire_mk5c_shop;Spitfire Mk Vc Trop
spitfire_mk5c_0;Supermarine Type 352/6 Spitfire Mark Vc (tropical)
spitfire_mk5c_1;Spitfire Mk V
spitfire_mk5c_2;Spitfire
spitfire_ix_early_shop;Spitfire F.Mk IX
spitfire_ix_early_0;Supermarine Type 374 Spitfire Fighter Mark IX
spitfire_ix_early_1;Spitfire Mk IX
spitfire_ix_early_2;Spitfire
spitfire_ix_shop;Spitfire LF.Mk IX
spitfire_ix_0;Supermarine Type 374 Spitfire Low-Altitude Fighter Mark IX
spitfire_ix_1;Spitfire Mk IX
spitfire_ix_2;Spitfire
spitfire_ix_tutorial_shop;Spitfire LF.Mk IX
spitfire_ix_tutorial_0;Supermarine Type 374 Spitfire Low-Altitude Fighter Mark IX
spitfire_ix_tutorial_1;Spitfire LF.Mk IX
spitfire_ix_tutorial_2;Spitfire
spitfire_mk9c_4cannons_shop;Spitfire F.Mk IXc
spitfire_mk9c_4cannons_0;Supermarine Type 374 Spitfire Fighter Mark IXc
spitfire_mk9c_4cannons_1;Spitfire Mk IX
spitfire_mk9c_4cannons_2;Spitfire
spitfire_ix_plagis_shop;Plagis' Spitfire LF.Mk IXc
spitfire_ix_plagis_0;Ioannis "John" Plagis' SupermarineType 374 Spitfire Low-Altitude Fighter Mark IXc [K5J ML214 | 126 Squadron]
spitfire_ix_plagis_1;Spitfire Mk IX
spitfire_ix_plagis_2;Spitfire
spitfire_mk14c_shop;Spitfire F.Mk XIVc
spitfire_mk14c_0;Supermarine Type 379 Spitfire Fighter Mark XIVc
spitfire_mk14c_1;Spitfire Mk XIV
spitfire_mk14c_2;Spitfire
spitfire_mk14e_shop;Spitfire F.Mk XIVe
spitfire_mk14e_0;Supermarine Type 379 Spitfire Fighter Mark XIVe
spitfire_mk14e_1;Spitfire Mk XIV
spitfire_mk14e_2;Spitfire
spitfire_fr_mk14e_shop;Prendergast's Spitfire FR.Mk XIVe
spitfire_fr_mk14e_0;Squadron Leader James Prendergast's Supermarine Type 379 Spitfire Fighter Reconnaissance Mark XIVe [VCP NH902 | 414 Squadron, Royal Canadian Air Force] «Lazy Lady V»
spitfire_fr_mk14e_1;Spitfire Mk XIV
spitfire_fr_mk14e_2;Spitfire
spitfire_xvi_shop;Spitfire LF.Mk XVI
spitfire_xvi_0;Supermarine Type 361 Spitfire Low-Altitude Fighter Mark XVI
spitfire_xvi_1;Spitfire Mk XVI
spitfire_xvi_2;Spitfire
spitfire_mk18e_shop;Spitfire F.Mk 18e
spitfire_mk18e_0;Supermarine Type 394 Spitfire Fighter Mark 18e
spitfire_mk18e_1;Spitfire Mk 18
spitfire_mk18e_2;Spitfire
spitfire_f22_shop;Spitfire F.Mk 22
spitfire_f22_0;Supermarine Type 356 Spitfire Fighter Mark 22
spitfire_f22_1;Spitfire Mk 22
spitfire_f22_2;Spitfire
spitfire_f24_shop;Spitfire F.Mk 24
spitfire_f24_0;Supermarine Type 356 Spitfire Fighter Mark 24
spitfire_f24_1;Spitfire Mk 24
spitfire_f24_2;Spitfire
shop/group/seafire_group;Seafire
seafire_mk3_shop;Seafire LF.Mk III
seafire_mk3_0;Supermarine Type 358 Seafire Low-altitude Fighter Mark III
seafire_mk3_1;Seafire LF.Mk III
seafire_mk3_2;Seafire
seafire_mk17_shop;Seafire Mk. XVII
seafire_mk17_0;Supermarine Type 395 Seafire Mark XVII
seafire_mk17_1;Seafire Mk. XVII
seafire_mk17_2;Seafire
seafire_fr47_shop;Seafire FR.Mk 47
seafire_fr47_0;Supermarine Seafire Fighter Reconnaissance Mark 47
seafire_fr47_1;Seafire Mk. 47
seafire_fr47_2;Seafire
beaufighter_mk6c_shop;Beaufighter Mk VIc
beaufighter_mk6c_0;Bristol Type 156 Beaufighter Mark VIc
beaufighter_mk6c_1;Beaufighter Mk VI
beaufighter_mk6c_2;Beaufighter
beaufighter_mkx_shop;Beaufighter TF.Mk X
beaufighter_mkx_0;Bristol Type 156 Torpedo Fighter Beaufighter Mark X "Torbeau"
beaufighter_mkx_1;Beaufighter Mk X
beaufighter_mkx_2;Beaufighter
beaufighter_mk21_shop;Beaufighter Mk 21
beaufighter_mk21_0;DAP Type 156 Beaufighter Mark 21
beaufighter_mk21_1;Beaufighter Mk 21
beaufighter_mk21_2;Beaufighter
beaufighter_mk1_40mm_shop;Beaufighter Mk I [R2055]
beaufighter_mk1_40mm_0;Bristol Type 156 Beaufighter Mark I Prototype [R2055]
beaufighter_mk1_40mm_1;Beaufighter Mk I [R2055]
beaufighter_mk1_40mm_2;Beaufighter
wellington_mk1c_shop;Wellington Mk Ic
wellington_mk1c_0;Vickers Type 416 Wellington Mark Ic
wellington_mk1c_1;Wellington Mk I
wellington_mk1c_2;Wellington
wellington_mk1c_late_shop;Wellington Mk Ic/L
wellington_mk1c_late_0;Vickers Type 416 Wellington Mark Ic Late Production
wellington_mk1c_late_1;Wellington Mk I
wellington_mk1c_late_2;Wellington
wellington_mk3_shop;Wellington Mk III
wellington_mk3_0;Vickers Type 424 Wellington B Mark III
wellington_mk3_1;Wellington Mk III
wellington_mk3_2;Wellington
wellington_mk10_shop;Wellington Mk X
wellington_mk10_0;Vickers Type 440 Wellington B Mark X
wellington_mk10_1;Wellington Mk X
wellington_mk10_2;Wellington
halifax_mk3_shop;Halifax B.Mk IIIa
halifax_mk3_0;Handley Page HP.61 Halifax Bomber Mark IIIa
halifax_mk3_1;Halifax Mk III
halifax_mk3_2;Halifax
hudson_mk_v_shop;Hudson Mk V
hudson_mk_v_0;Lockheed Model 414 Hudson Mark V
hudson_mk_v_1;Hudson Mk V
hudson_mk_v_2;Hudson
avenger_mk1_shop;Avenger Mk II
avenger_mk1_0;Grumman Avenger Mark II
avenger_mk1_1;Avenger Mk II
avenger_mk1_2;Avenger
corsair_fmk2_shop;Corsair F.Mk II
corsair_fmk2_0;Vought Corsair Fighter Mark II
corsair_fmk2_1;Corsair F.Mk II
corsair_fmk2_2;Corsair
d_520_shop;▄ D.520
d_520_0;Dewoitine D.520
d_520_1;▄ D.520
d_520_2;▄ D.520
d_521_shop;▄ D.521
d_521_0;Dewoitine D.521
d_521_1;▄ D.521
d_521_2;▄ D.521
b_48_firecrest_shop;Firecrest
b_48_firecrest_0;Blackburn B.48 Firecrest
b_48_firecrest_1;Firecrest
b_48_firecrest_2;Firecrest
boston_mk_1_shop;Boston Mk II
boston_mk_1_0;Douglas Boston Mark II
boston_mk_1_1;Boston Mk II
boston_mk_1_2;Boston
db_7_shop;▄ DB-7B-3
db_7_0;Douglas DB-7B-3 early
db_7_1;▄ DB-7B
db_7_2;▄ DB-7
f4f-4_martlet_mk4_shop;Martlet Mk IV
f4f-4_martlet_mk4_0;Grumman Martlet Mark IV
f4f-4_martlet_mk4_1;Martlet Mk. IV
f4f-4_martlet_mk4_2;Martlet
boomerang_mki_shop;CA-12 Boomerang
boomerang_mki_0;CAC CA-12 Boomerang Mark I
boomerang_mki_1;CA-12 Boomerang
boomerang_mki_2;Boomerang
boomerang_mkii_shop;CA-13 Boomerang
boomerang_mkii_0;CAC CA-13 Boomerang Mark II [QE-K, A46-148 | 4th Squadron, Royal Australian Air Force]
boomerang_mkii_1;CA-13 Boomerang
boomerang_mkii_2;Boomerang
shop/group/firefly_group;Firefly
firefly_mk1_shop;Firefly F.Mk I
firefly_mk1_0;Fairey Firefly Fighter Mark I
firefly_mk1_1;Firefly Mk I
firefly_mk1_2;Firefly
firefly_mk5_shop;Firefly FR.Mk V
firefly_mk5_0;Fairey Firefly Fighter Reconnaissance V
firefly_mk5_1;Firefly Mk. V
firefly_mk5_2;Firefly
firebrand_tf4_shop;Firebrand TF.Mk IV
firebrand_tf4_0;Blackburn B.46 Firebrand Torpedo Fighter Mark IV
firebrand_tf4_1;Firebrand Mk. IV
firebrand_tf4_2;Firebrand
shop/group/mosquito_group;Mosquito
mosquito_fb_mk6_shop;Mosquito FB.Mk VI
mosquito_fb_mk6_0;de Havilland DH.98 Mosquito Fighter Bomber Mark VI
mosquito_fb_mk6_1;Mosquito Mk VI
mosquito_fb_mk6_2;Mosquito
mosquito_fb_mk18_shop;Mosquito FB.Mk XVIII
mosquito_fb_mk18_0;de Havilland DH.98 Mosquito Fighter Bomber XVIII
mosquito_fb_mk18_1;Mosquito Mk. XVIII
mosquito_fb_mk18_2;Mosquito
stirling_mk1_shop;Stirling B.Mk I
stirling_mk1_0;Short S.29 Stirling Bomber Mark I
stirling_mk1_1;Stirling Mk 1
stirling_mk1_2;Stirling
stirling_mk3_shop;Stirling B.Mk III
stirling_mk3_0;Short S.29 Stirling Bomber Mark III
stirling_mk3_1;Stirling Mk. III
stirling_mk3_2;Stirling
hellcat_fmk1_shop;Hellcat Mk II
hellcat_fmk1_0;Grumman Hellcat Mark II
hellcat_fmk1_1;Hellcat Mk II
hellcat_fmk1_2;Hellcat
thunderbolt_mk1_shop;Thunderbolt Mk I
thunderbolt_mk1_0;Republic Thunderbolt Mark I
thunderbolt_mk1_1;Thunderbolt Mk I
thunderbolt_mk1_2;Thunderbolt
p-51b_shop;Mustang Mk Ia
p-51b_0;North American Mustang Mark Ia
p-51b_1;Mustang Mk I
p-51b_2;Mustang
whirlwind_p9_shop;Whirlwind (P)
whirlwind_p9_0;Westland P.9 Whirlwind Prototype (L6844)
whirlwind_p9_1;P.9
whirlwind_p9_2;Whirlwind
whirlwind_mk1_shop;Whirlwind Mk I
whirlwind_mk1_0;Westland P.9 Whirlwind Mark I
whirlwind_mk1_1;Whirlwind Mk I
whirlwind_mk1_2;Whirlwind
tempest_mk2_shop;Tempest FB.Mk II
tempest_mk2_0;Hawker Tempest Fighter Bomber Mark II
tempest_mk2_1;Tempest FB.Mk II
tempest_mk2_2;Tempest
shop/group/tempest_mkv_group;Tempest Mk V
tempest_mkv_shop;Tempest F.Mk V
tempest_mkv_0;Hawker Tempest Fighter Mark V Series II
tempest_mkv_1;Tempest F.Mk V
tempest_mkv_2;Tempest
tempest_mkv_vikkers_shop;Tempest F.Mk V [SN354]
tempest_mkv_vikkers_0;Hawker Tempest Fighter Mark V Series II [SN354]
tempest_mkv_vikkers_1;Tempest F.Mk V
tempest_mkv_vikkers_2;Tempest
sea_fury_fb11_shop;Sea Fury FB.11
sea_fury_fb11_0;Hawker P.1022 Sea Fury Fighter Bomber Mark 11
sea_fury_fb11_1;Sea Fury FB.
sea_fury_fb11_2;Sea Fury
brigand_b1_shop;Brigand B.1
brigand_b1_0;Bristol Type 164 Brigand Bomber 1
brigand_b1_1;Brigand B.1
brigand_b1_2;Brigand
hornet_mk1_shop;Hornet F.Mk I
hornet_mk1_0;de Havilland DH.103 Hornet Fighter Mark I
hornet_mk1_1;Hornet F.Mk I
hornet_mk1_2;Hornet
hornet_mk3_shop;Hornet F.Mk III
hornet_mk3_0;de Havilland DH.103 Hornet Fighter Mark III
hornet_mk3_1;Hornet Mk III
hornet_mk3_2;Hornet
shop/group/lancaster_group;Lancaster
lancaster_mk1_shop;Lancaster B.Mk I
lancaster_mk1_0;Avro Type 683 Lancaster Bomber Mark I
lancaster_mk1_1;Lancaster B.Mk I
lancaster_mk1_2;Lancaster
lancaster_mk3_shop;Lancaster B.Mk III
lancaster_mk3_0;Avro Type 683 Lancaster Bomber Mark III
lancaster_mk3_1;Lancaster B.Mk III
lancaster_mk3_2;Lancaster
lincoln_b2_shop;Lincoln B.Mk II
lincoln_b2_0;Avro Type 694 Lincoln Bomber Mark II
lincoln_b2_1;Lincoln B.Mk II
lincoln_b2_2;Lincoln
shackleton_mr_mk_2_shop;Shackleton MR.2
shackleton_mr_mk_2_0;Avro Type 696 Shackleton Maritime Reconnaissance Mark 2
shackleton_mr_mk_2_1;Shackleton MR.2
shackleton_mr_mk_2_2;Shackleton
mb_5_shop;MB.5
mb_5_0;Martin-Baker MB.5
mb_5_1;MB.5
mb_5_2;MB.5
wyvern_s4_shop;Wyvern S.Mk 4
wyvern_s4_0;Westland Wyvern Strike Mark 4
wyvern_s4_1;Wyvern S.4
wyvern_s4_2;Wyvern
vampire_fb5_shop;Vampire FB.5
vampire_fb5_0;de Havilland DH.100 Vampire Fighter-bomber Mark 5
vampire_fb5_1;Vampire FB.5
vampire_fb5_2;Vampire
venom_fb4_shop;Venom FB.4
venom_fb4_0;de Havilland DH.112 Venom Fighter-bomber Mark 4
venom_fb4_1;Venom FB.4
venom_fb4_2;Venom
shop/group/meteor3_group;Meteor F.3
shop/group/meteor4_group;Meteor F.4
meteor_fmk3_shop;Meteor F.3
meteor_fmk3_0;Gloster G.41C Meteor Fighter Mark 3
meteor_fmk3_1;Meteor F.3
meteor_fmk3_2;Meteor
meteor_fmk3_navy_shop;Sea Meteor F.3
meteor_fmk3_navy_0;Gloster G.41C Sea Meteor Fighter Mark 3
meteor_fmk3_navy_1;Meteor F.3
meteor_fmk3_navy_2;Meteor
meteor_fmk4_lw_shop;G.41F Meteor F.4
meteor_fmk4_lw_0;Gloster G.41F Meteor Fighter Mark 4
meteor_fmk4_lw_1;G.41F
meteor_fmk4_lw_2;Meteor
meteor_fmk4_sw_shop;G.41G Meteor F.4
meteor_fmk4_sw_0;Gloster G.41G Meteor Fighter Mark 4
meteor_fmk4_sw_1;Meteor F.4
meteor_fmk4_sw_2;Meteor
meteor_fmk8_shop;Meteor F.8
meteor_fmk8_0;Gloster G.41K Meteor Fighter Mark 8
meteor_fmk8_1;Meteor F.8
meteor_fmk8_2;Meteor
meteor_fmk8_reaper_shop;G.44 Meteor
meteor_fmk8_reaper_0;Gloster G.44 Meteor Ground Attack Fighter
meteor_fmk8_reaper_1;G.44 Meteor
meteor_fmk8_reaper_2;Meteor
attaker_fb1_shop;Attacker FB.1
attaker_fb1_0;Supermarine Attacker Fighter Bomber Mark 1
attaker_fb1_1;Attacker FB.1
attaker_fb1_2;Attacker
attaker_fb2_shop;Attacker FB.2
attaker_fb2_0;Supermarine Type 515 Attacker Fighter Bomber Mark 2
attaker_fb2_1;Attacker FB.2
attaker_fb2_2;Attacker
sea_hawk_fga6_shop;Sea Hawk FGA.6
sea_hawk_fga6_0;Hawker Sea Hawk Fighter/Ground Attack Mark 6
sea_hawk_fga6_1;Sea Hawk FGA.6
sea_hawk_fga6_2;Sea Hawk
sea_venom_faw20_shop;Sea Venom FAW.20
sea_venom_faw20_0;de Havilland DH.112 Sea Venom Fighter, All-Weather Mark 20
sea_venom_faw20_1;Sea Venom FAW.20
sea_venom_faw20_2;Sea Venom
swift_f1_shop;Swift F.1
swift_f1_0;Supermarine Swift Fighter Mark 1
swift_f1_1;Swift F.1
swift_f1_2;Swift
swift_f7_shop;Swift F.7
swift_f7_0;Supermarine Swift Fighter Mark 7
swift_f7_1;Swift F.7
swift_f7_2;Swift
canberra_bmk2_shop;Canberra B.2
canberra_bmk2_0;English Electric Canberra Bomber Mark 2
canberra_bmk2_1;Canberra B.2
canberra_bmk2_2;Canberra
canberra_bimk6_shop;Canberra B(I).6
canberra_bimk6_0;English Electric Canberra Bomber Interdictor Mark 6
canberra_bimk6_1;Canberra B(I).6
canberra_bimk6_2;Canberra
dh_110_sea_vixen_shop;Sea Vixen FAW. 2
dh_110_sea_vixen_0;de Havilland DH.110 Sea Vixen FAW. 2
dh_110_sea_vixen_1;Sea Vixen FAW.2
dh_110_sea_vixen_2;Sea Vixen
hunter_f1_shop;Hunter F.1
hunter_f1_0;Hawker Hunter Fighter Mark 1
hunter_f1_1;Hunter F.1
hunter_f1_2;Hunter
hunter_f6_shop;Hunter F.6
hunter_f6_0;Hawker Hunter Fighter Mark 6
hunter_f6_1;Hunter F.6
hunter_f6_2;Hunter
hunter_f9_rhodesia_shop;Hunter FGA.9
hunter_f9_rhodesia_0;Hawker Hunter Fighter/Ground Attack Mark 9
hunter_f9_rhodesia_1;Hunter FGA.9
hunter_f9_rhodesia_2;Hunter
javelin_fmk9_shop;Javelin FAW.9
javelin_fmk9_0;Gloster Javelin Fighter/All Weather Mark 9
javelin_fmk9_1;Javelin FAW.9
javelin_fmk9_2;Javelin
lightning_f6_shop;Lightning F.6
lightning_f6_0;BAC Lightning Fighter Mark 6
lightning_f6_1;Lightning F.6
lightning_f6_2;Lightning
lightning_f53_shop;Lightning F.53
lightning_f53_0;BAC Lightning Fighter Mark F.53
lightning_f53_1;Lightning F.53
lightning_f53_2;Lightning
scimitar_f1_shop;Scimitar F.1
scimitar_f1_0;Supermarine Scimitar Fighter Mark 1
scimitar_f1_1;Scimitar F.1
scimitar_f1_2;Scimitar
harrier_frs1_early_shop;Harrier FRS.1
harrier_frs1_early_0;Hawker Siddeley Harrier Fighter/Reconnaissance/Strike Mark 1
harrier_frs1_early_1;Harrier FRS.1
harrier_frs1_early_2;Harrier
harrier_gr1_shop;Harrier GR.1
harrier_gr1_0;Hawker Siddeley Harrier Ground Attack/Reconnaissance Mark 1
harrier_gr1_1;Harrier GR.1
harrier_gr1_2;Harrier
harrier_gr3_shop;Harrier GR.3
harrier_gr3_0;Hawker Siddeley Harrier Ground Attack/Reconnaissance Mark 3
harrier_gr3_1;Harrier GR.3
harrier_gr3_2;Harrier
harrier_gr7_shop;Harrier GR.7
harrier_gr7_0;Hawker Siddeley Harrier Ground Attack/Reconnaissance Mark 7
harrier_gr7_1;Harrier GR.7
harrier_gr7_2;Harrier
harrier_frs1_shop;Sea Harrier FRS.1
harrier_frs1_0;Hawker Siddeley Sea Harrier Fighter/Reconnaissance/Strike Mark 1
harrier_frs1_1;Sea Harrier FRS.1
harrier_frs1_2;Sea Harrier
jaguar_gr1_shop;▄ Jaguar GR.1
jaguar_gr1_0;SEPECAT Jaguar Ground attack/Reconnaissance Mark 1
jaguar_gr1_1;▄ Jaguar GR.1
jaguar_gr1_2;▄ Jaguar
jaguar_gr1a_shop;▄ Jaguar GR.1
jaguar_gr1a_0;SEPECAT Jaguar Ground attack/Reconnaissance Mark 1a
jaguar_gr1a_1;▄ Jaguar GR.1
jaguar_gr1a_2;▄ Jaguar
buccaneer_s1_shop;Buccaneer S.1
buccaneer_s1_0;Blackburn Buccaneer Strike Mark 2
buccaneer_s1_1;Buccaneer S.1
buccaneer_s1_2;Buccaneer
buccaneer_s2_shop;Buccaneer S.2
buccaneer_s2_0;Blackburn Buccaneer Strike Mark 2
buccaneer_s2_1;Buccaneer S.2
buccaneer_s2_2;Buccaneer
f-4m_fgr2_shop;Phantom FGR.2
f-4m_fgr2_0;BAC Phantom Fighter/Ground attack/Reconnaissance Mark 2
f-4m_fgr2_1;Phantom FGR.2
f-4m_fgr2_2;Phantom
f-4k_shop;Phantom FG.1
f-4k_0;BAC Phantom Fighter/Ground attack Mark 1
f-4k_1;Phantom FG.1
f-4k_2;Phantom
f-4jk_shop;Phantom F.3
f-4jk_0;McDonnell Douglas F-4J(UK) Phantom Fighter Mark 3
f-4jk_1;Phantom F.3
f-4jk_2;Phantom
tornado_gr1_shop;▄ Tornado GR.1
tornado_gr1_0;PA-200 | Panavia Tornado Ground attack/Reconnaissance Mark 1
tornado_gr1_1;▄ Tornado GR.1
tornado_gr1_2;▄ Tornado
tornado_f3_shop;▄ Tornado F.3
tornado_f3_0;PA-200 | Panavia Tornado Fighter Mark 3
tornado_f3_1;▄ Tornado F.3
tornado_f3_2;▄ Tornado
shop/group/beaufighter_group;Beaufighter
shop/group/sunderland_group;Sunderland
shop/group/blenheim_group;Blenheim / Beauford
shop/group/hampden_group;Hampden
shop/group/brigand_group;Brigand / Whirlwind
shop/group/stirling_group;Stirling
shop/group/lincoln_group;Lincoln / Shackleton
shop/group/wellington_group;Wellington, Bristol Pegasus
shop/group/wellington_late_group;Wellington, Bristol Hercules
shop/group/canberra_group;Canberra
shop/group/sea_hawk_group;Sea Hawk / Sea Venom
shop/group/spitfire_mk1_group;Spitfire, A-Type
shop/group/spitfire_mk5b_group;Spifire Mk Vb
shop/group/spitfire_mk5c_group;Spifire Mk Vc
shop/group/spitfire_mk9_group;Spitfire Mk IX / XVI
shop/group/spitfire_mk9e_group;Spitfire F
shop/group/spitfire_griffon_group;Spitfire F.Mk 22 / 24
;
;
GREAT_BRITAIN_BLUEWATER_FLEET;
uk_destroyer_v_class_vega_shop;HMS Vega
uk_destroyer_v_class_vega_0;V-class Destroyer, His Majesty's Ship Vega (L41), 1944
uk_destroyer_v_class_vega_1;HMS Vega
uk_destroyer_v_class_vega_2;Destroyer
uk_destroyer_hunt_2series_shop;HMS Calpe
uk_destroyer_hunt_2series_0;Type II Hunt Class Destroyer, His Majesty's Ship Calpe (L71), 1942
uk_destroyer_hunt_2series_1;HMS Calpe
uk_destroyer_hunt_2series_2;Destroyer
uk_destroyer_g_grafton_shop;HMS Grafton
uk_destroyer_g_grafton_0;G Class Destroyer, His Majesty's Ship Grafton (H89), 1936
uk_destroyer_g_grafton_1;HMS Grafton
uk_destroyer_g_grafton_2;Destroyer
uk_destroyer_g_grafton_EC_0;G Class Destroyer, His Majesty's Ship Grafton (H89), 1936
uk_destroyer_g_grafton_EC_1;HMS Grafton
uk_destroyer_g_grafton_EC_2;Destroyer
uk_destroyer_clemson_churchill_shop;HMS Churchill
uk_destroyer_clemson_churchill_0;Type A Town Class Destroyer, His Majesty's Ship Churchill (I45), 1942
uk_destroyer_clemson_churchill_1;HMS Churchill
uk_destroyer_clemson_churchill_2;Destroyer
uk_destroyer_clemson_churchill_EC_0;Type A Town Class Destroyer, His Majesty's Ship Churchill (I45), 1942
uk_destroyer_clemson_churchill_EC_1;HMS Churchill
uk_destroyer_clemson_churchill_EC_2;Destroyer
uk_destroyer_v_class_verdun_shop;HMS Verdun
uk_destroyer_v_class_verdun_0;V-class Destroyer, His Majesty's Ship Verdun (L93), 1941
uk_destroyer_v_class_verdun_1;HMS Verdun
uk_destroyer_v_class_verdun_2;Destroyer
uk_destroyer_v_class_valhalla_shop;HMS Valhalla
uk_destroyer_v_class_valhalla_0;V-class Destroyer, His Majesty's Ship Valhalla (G45), 1941
uk_destroyer_v_class_valhalla_1;HMS Valhalla
uk_destroyer_v_class_valhalla_2;Destroyer
uk_destroyer_clemson_montgomery_g95_shop;HMS Montgomery
uk_destroyer_clemson_montgomery_g95_0;Type B, Town Class Destroyer, His Majesty's Ship Montgomery (G95), 1941
uk_destroyer_clemson_montgomery_g95_1;HMS Montgomery
uk_destroyer_clemson_montgomery_g95_2;Destroyer
uk_destroyer_tribal_shop;HMS Eskimo
uk_destroyer_tribal_0;Tribal Class Destroyer, His Majesty's Ship Eskimo (F75), 1941
uk_destroyer_tribal_1;HMS Eskimo
uk_destroyer_tribal_2;Destroyer
uk_destroyer_tribal_EC_0;Tribal Class Destroyer, His Majesty's Ship Eskimo (F75), 1941
uk_destroyer_tribal_EC_1;HMS Eskimo
uk_destroyer_tribal_EC_2;Destroyer
uk_destroyer_n_class_shop;HMAS Nepal
uk_destroyer_n_class_0;N Class Destroyer, His Majesty's Australian Ship Nepal (G25), 1942
uk_destroyer_n_class_1;HMAS Nepal
uk_destroyer_n_class_2;Destroyer
uk_destroyer_n_class_EC_0;N Class Destroyer, His Majesty's Australian Ship Nepal (G25), 1942
uk_destroyer_n_class_EC_1;HMAS Nepal
uk_destroyer_n_class_EC_2;Destroyer
uk_destroyer_hunt_4series_shop;HMS Brissenden
uk_destroyer_hunt_4series_0;Type IV Hunt Class Destroyer, His Majesty's Ship Brissenden (L79), 1943
uk_destroyer_hunt_4series_1;HMS Brissenden
uk_destroyer_hunt_4series_2;Destroyer
uk_destroyer_k_class_shop;HMS Kelvin
uk_destroyer_k_class_0;K Class Destroyer, , His Majesty's Ship Kelvin (F37), 1939
uk_destroyer_k_class_1;HMS Kelvin
uk_destroyer_k_class_2;Destroyer
uk_minelayer_abdiel_class_abdiel_shop;HMS Abdiel
uk_minelayer_abdiel_class_abdiel_0;Abdiel Class Minelayer, His Majesty's Ship Abdiel (M39), 1941
uk_minelayer_abdiel_class_abdiel_1;HMS Abdiel
uk_minelayer_abdiel_class_abdiel_2;Minelayer
uk_destroyer_j_class_shop;HMS Jervis
uk_destroyer_j_class_0;J Class Destroyer, HMS Jervis (G00), 1944
uk_destroyer_j_class_1;HMS Jervis
uk_destroyer_j_class_2;Destroyer
uk_destroyer_g_garland_shop;ORP Garland
uk_destroyer_g_garland_0;Typu G Niszczyciele, Okręt Rzeczypospolitej Polskiej Garland (H37), 1942
uk_destroyer_g_garland_1;ORP Garland
uk_destroyer_g_garland_2;Destroyer
uk_destroyer_tribal_mohawk_shop;HMS Mohawk
uk_destroyer_tribal_mohawk_0;Tribal Class Destroyer, His Majesty's Ship Mohawk (L31), 1941
uk_destroyer_tribal_mohawk_1;HMS Mohawk
uk_destroyer_tribal_mohawk_2;Destroyer
shop/group/uk_destroyer_battle_group;Battle Class
uk_destroyer_battle_2series_shop;HMS Armada
uk_destroyer_battle_2series_0;Type I Battle Class Destroyer, His Majesty's Ship Armada (R14), 1943
uk_destroyer_battle_2series_1;HMS Armada
uk_destroyer_battle_2series_2;Destroyer
uk_destroyer_battle_tobruk_shop;HMAS Tobruk
uk_destroyer_battle_tobruk_0;Type III Battle Class Destroyer, His Majesty's Australian Ship Tobruk (D37), 1950
uk_destroyer_battle_tobruk_1;HMAS Tobruk
uk_destroyer_battle_tobruk_2;Destroyer
uk_cruiser_arethusa_shop;HMS Arethusa
uk_cruiser_arethusa_0;Arethusa Class Light Cruiser, His Majesty's Ship Arethusa (26), 1943
